,reviews
3894,The wonder woman bathing suit fits perfect. I sent my exact measurements to the seller and it fits perfect. I am pear shaped so larger around my hips and upper thigh. That being said the elastic around the legs was a little tight but nothing painful. The suit still fits well.
3895,Omg! love love love this swimsuit & skirt. It came in a few days and it fits perfectly! Thank you sooo much! The best! I will place more orders from you in the near future. Love your work! Thanks again!!
3896,"Thank you so
Much!!!! I love it! Fits perfectly and I feel like I can save the world now!! 😘"
3897,Wonder Woman!!! Gorgeous and unique handmade swimsuit. Fast shipping. One of a kind.
3898,Very happy with this swimsuit! It fits perfectly and the quality is amazing. And the shipping was quick too :)
3899,"Soooo cute. Stocked the delivery online and could not wait until I got it. When I did I tried it on immediately and it is soooo darling. I cannot wait to go on vacation and use it. 
Being a mom it covers all the right places, is still flattering, and it fits like a glove. 
This is my second swimsuit and I recommend any of these suits if you are looking for something flattering, cute,and stylish all at the same time.
Definitely be buying from her again when I'm ready for a new suit. 
Soooo excited."
3900,Absolutely love love love my suit...super high quality and fabulous fit!!!
3901,Absolutely love this suit. Beautiful craftsmanship!
3902,Amazing quality and superb fit. This lady has serious talent and was quick to reply to my questions on a small modification I wanted.
3903,"Amazing quality and attention to detail, plus a perfect fit! I am in looove:)"
3904,"The single best swimsuit I have ever owned! And the seller is very approachable and nice!! I will definitely keep on purchasing my swimsuits from her, everything else now falls short hehe."
3905,I LOVE this swimsuit.  It is made perfectly.  Great job!!!
3906,Absolutely perfect! The swimsuit and the device were both phenomenal! It fits like a glove and came right away. Highly recommended! Thank you so much :)
3907,I love it! The swimsuit is professionally made and fits great! It was also was shipped in a very timely manner.
3908,"These are the most awesome bathing suits!!  I've got two of them now, and love them.  They are flattering, and I get lots of compliments on them when I wear them."
3909,Love it!  Fits great! super coverage!  fast delivery!
3910,"It arrived faster than expected. Perfect fit and great quality. I love it! 
I've finally found the perfect place to shop for bathing suits."
3911,"Bright colors, high quality fabric, and a perfect fit!! Absolutely LOVE it!!"
3912,Fits great! Love that she does custome measurements.
3913,I can not be happier.
3914,Great quality.  Looks great on.  Love it!!!
3915,"Received the item really quickly. The suit itself is very high quality, well made, and fits perfectly. I look forward to rocking this suit for summers to come. Thanks!"
3916,Article super quality and adapted to my measurements! awesome. I recommend
3917,It's beautiful and fits great! Really fast turnaround. Thanks so much!
3918,Amazing fit and looks stunning on
3919,"Best swimsuit I've ever had, so cute and it actual holds and covers my boobs!"
3920,"This is a awesome swimsuit! Nice heavy material, great construction, and wonderful fit. Thanks so much!"
3921,Excellent quality and it fit perfectly!
3922,"Love this item, really well made and fast international shipping, brilliant seller! Thankyou!"
3923,"Thank you.  Nice suit, ,,,fun to wear."
3924,"Received it fairly quickly and overall I like it, but it's very unflattering around my thighs as it's tight in that area, and a little longer in the abdomen than expected."
3925,Looks just as the picture.  Looking forward to wearing it.
3926,"I never got my order. I contacted the shop about this, but got no reply from them. 
Should I assume my money is lost? I really like shopping on Etsy, and want to believe this is a shop problem and not a website problem.
Sorry, I am just disappointed by the lack of response :("
3927,I love my new bathing suit ! I purchased the American flag top for the Fourth of July and received so many compliments. The best part is that I received it in 2 days ! Bstyle is awesome.
3928,"The seller was really great for getting it to me on time, and when I asked about sizing she hit it spot on. I was really sastified with this item."
3929,bstyle was very easy to get in communication with and the product shipped quickly. The top is well-made and perfect for festival season. I also love the fact that it has built-in padding!
3930,Such an awesome custom made top! Fit perfectly and I had so many compliments on our annual Independence Day Lake trip!!
3931,I love this top. Looks just like the picture except my stripes were going vertical not horizontal but no big deal. It's still just as cute. The seller is VERY quick to respond to any messages and help out. Definitely ordering from her again.
3932,Amazing!!!!! Love love love love
3933,Awesome very cute!!!! Shipping just as described!
3934,Exactly as described! and came super fast!
3935,Beautiful & fast delivery🌺
3936,Beautiful
3937,Perfection! Thank you so much!
3938,Beautiful & fast delivery🤩
3939,The colorful is wonderful!  Love it!
3940,It was on its way within hours. Thanks!
3941,Lucy was SOOOO sweet and the custom bathing suit was beautiful and better than store bought. Top line! A++++++
3942,"Im pretty tall (5’10”) so one piece suits tend to either ride high or low on me. This bathing suit is amazing though! 10/10 would buy again!!!! Great quality, nice textured fabric, lots of straps for adjustments as needed!"
3943,"Loved this suit , she made it to fit my body perfectly. The only thing I would change is not to have the ruffles hang so low . Other than that it is so cute . Will order again . Thank you !"
3944,This swimsuit is beautiful and fits perfectly! I love that it is adjustable and is very well made! Thank you so much!
3945,"Absolutely gorgeous, I'll send you a shot of Angel wearing it as soon as it warms up enough for the beach!"
3946,Love it! Thank you LoveLucyBea for great communication and fast shipping. I received so many compliments on this super cute suit!
3947,"Love this bathing suit, made to fit my body perfectly. Can't wait to buy the wine color. Fast delivery!!! Even can accommodate emergency situations... Great customer service and will answer a question in a timely manner. Great shop and Great designer... I received so many stares and compliments with this bathing suit. Ladies if you want to hide that little bulge on your tummy while you work on it.. This is the perfect bathing suit to feel completely confident and sexy.... BUY NOW!!! You won't be disappointed.."
3948,"Nice suit, quick delivery, good service and a perfect fit (I was nervous about what I'd get based off emailed measurements). The color looks like more of a bright pink to me than what I'd consider coral, but I'm still keeping it. Overall quite satisfied."
3949,I love the material and the bathing suits.  They fit so great.   Thanks
3950,"The wife loves it, amazing quality."
3951,"Perfect! It fits so well and looks good on all sorts of body types, including mine. I asked for the abdomen to be slightly shorter since I'm short, and it came out perfect. I also asked for it to have a slit in the side of the bust to insert padding if I wanted, but there's an extra layer of cloth to help with shape and support without being a bra. The straps are wider than usual, so they're comfortable. I love it. The only problem is that the material under the bust stretches when you tie it, and the lettering there starts to crack apart from it. Other than that tiny detail, awesome!"
3952,"I love it! I ordered this style monokini but requested it to be Wonder Woman themed. It came out fantastic and fits perfectly! Thank you so much Lisa! I usually can't wear monokinis because they aren't long enough for my torso, but you did it!!! <3"
3953,This bathing suit fits perfectly! I'm very happy with the item. I'm 5'11 and a size 10-12 and she made this fit! The rouched bottom is so flattering. Can't wait to place my next order!
3954,"There was a bit of a mix up but the seller was so easy to work with that I have no complaints. The swimsuit is both geeky and super sexy! I love it so much that im going to order the Wonder Woman one piece today. I hope there will be more monokinis, these are so flattering!"
3955,The swim suit was beautifully made and makes my whovian hearts ecstatic!
3956,A great fit and great quality!  I purchased this for a special event this summer and it is exactly what I expected!!!
3957,Love this bathing suit! Fits amazing and it is very well made!! Thank you so much ♡
3958,YAAAAAAAAAAAASSSS!!! I LOVE THE SHIT OUT OF THIS THING!!!!
3959,"Fits wonderfully, I love it! Thank you so much!"
3960,"I bought as a surprise for my boyfriend(now fiancé.) for our first ""long"" vacation together. we have done many weekend trips but this was his first cruise. Fit perfectly and he loved it!!!"
3961,"Fit great and hugged in all the right places, was good quality and shipping was pretty quick"
3962,This is my favorite bathing suit I've ever owned. Specifically it fits in the back side better than anything I've ever been able to find in a store and the stitching is fantastic. Love love love
3963,"My wife ordered the Tardis monokini and she loves it! It fits perfectly and is incredibly well made. I personally love it more than she does, cuz she looks super hot in it. So from BOTH of us ( but especially me ) thank you very much!"
3964,"It's perfect!!! Thank you so much, you have made me so very happy!"
3965,I got my swimsuit yesterday. I LOVE IT!! It fits me like a glove. You are awesome!
3966,Fit like a glove! Super cute and got a lot of compliments at TomorrowWorld!
3967,Came just in time and was an incredible hit at the con! Will upload pictures soon!
3968,Words cannot express how happy this whovian is after receiving this swimsuit.  Everything about it was perfect.
3969,I love this swimsuit and fit is perfect:)
3970,Pretty and a perfect fit :) Love it!
3971,"This is probably the greatest swimsuit I've ever purchased. Fits like a glove, and is just awesome! Thank you so much!"
3972,"Shipped on time, well put together, fun design, moves and stretches well with you. Great product, enjoying it so far."
3973,The swimsuit was perfect and fit like a glove!
3974,WONDERFUL fit and cute design! LOVE it and can't wait to get a few more
3975,Fits as expected and looks great.
3976,Great fit and excellent quality. Shipping was very fast (although the postal services took their time. Not sellers fault) and communication was clear.
3977,"It fits well and looks super cute! Shipped and arrived in good time, can't wait to wear it on vacation!"
3978,Super cute! Exactly what I wanted.
3979,I love this swimsuit! It fits perfectly. the seller even reached out to get my measurements. This is by far my favorite swimsuit and the cheetah print is so fun!
3980,"Super cute and unique one piece! Seller was SO incredibly accommodating and made and shipped the suit to me before I left on vacation. Fabric and construction were very good, high quality. The only reason I didn't give 5 stars is that the suit was fairly short in the torso, even after I provided my exact measurements. I kept it though because I really wanted to wear on vacay and didn't have enough time to exchange. It worked and I did get compliments. :)"
3981,The quality is outstanding! I love this swimsuit from The Velvet Party! It arrived super quick! Love her work! :)
3982,"Absolutely love this cat suit! I ordered a small and it fits perfect! It is both comfortable and sexy, great purchase."
3983,"I am absolutely in love with this bathing suit. I am a curvy girl and it is so flattering. The seller was very quick, friendly and helpful. Thanks a million!"
3984,"This suit is beautiful. It is thinner than I expected so I’ve been wearing it under my overalls or with a pair of high waisted jeans as a body suit. I actually love it more as a body suit than a swimsuit!
It’s really soft and the colors are gorgeous! The shop owner was really sweet and accommodating and the shipping was fast."
3985,"Absolutely love this suit, it's great quality and fits perfectly."
3986,Amazing suit! Cut beautifully and so flatteringly; awesome classic leopard print; shipped lightning fast; seller was amicable and speedy with a size exchange! So pleased! Will be back!
3987,The fit is amazing I am so happy with the material and the print is fantastic!
3988,Fits perfect!!! I love it!!
3989,It's absolutely perfect - thank you!
3990,Great quality and the material is wonderful!! Seller was super accommodating and professional. Great experience.
3991,"Great swimsuit! Very thick fabric, well made. Great customer service. Thank you!"
3992,"fits perfect, my wife loves it, thanks!"
3993,So cute! Really well made. Thank you!
3994,Fits perfect. Very comfortable. Great service & fast delivery.
3995,"It's so beautiful! I'm absolutely in love with this bathing suit! Can't wait for it to get hot
Again so I can rock it! It's my new favorite! The quality is unbelievable. You can tell it was made with love!!!!!!"
3996,"I love it!!! (I wish it was warmer where I live so I could use it, but it should warm up soon) It fits well and looks great! Thank you so much!"
3997,"I am so pleased with this bikini set! It fits me perfectly and shipping from US to Finland (Europe) was super fast. Bikini is nicely sewn, tidy and beautiful. I recommend highly buying from Kooj and am already planning on buying my next swimsuit from her."
3998,"Much love and very recommend! :)

Her products are gorgeous, well made, crafted-with-love items. Bought as a gift–it was wrapped and sent with so much care even with a cute little birthday card.

Kooj has effin epic level of customer service. It has beyond anything I have ever seen."
3999,"LOVE, LOVE, LOVE!!!   Can't wait to wear this!!!  Perfect fit too!!!"
4000,I had already bought a suit from her but loved it so much I decided to buy this one too. so dang cute!!
4001,"It was a perfect fit! I was worried it wouldnt fit because im a size 34DD and its hard to find my size, But she nailed it! I love the bathing suit and i look forward to buying more bathing suits from her. I live in Las Vegas its ALWAYS super hot here (:
Thanks again!"
4002,I loved this swimsuit! It came earlier then I expected and it looks amazing. The quality of the swimsuit makes it clear that it will last for a very long time. I highly recommend this seller and will be buying again for next summer's look.
4003,👍👍👍
4004,"Suit quality is top notch, sent my measurements and customs colors, fits like a glove! I am in love with the suit, creation time was super fast as well. I cannot say enough good things about this.. seriously! So excited to wear my suit as is is not only gorgeous, but is comfy and flattering at the same time. If your on the fence about ordering,DO IT!"
4005,"This suit is BEAUTIFUL!  I was apprehensive about ordering online since I can rarely find bathing suits that fit when I try them on in the store.  This suit fit me like a glove, and is made SO WELL.  No detail was overlooked.  Shop owner is also extremely attentive and willing to work with you.  I love how you can send measurements and get the perfect suit for your body.  I'll probably end up buying all of my suits from Kooj!"
4006,"I love how it's true to size.
Fits beautiful.!!
LOVE IT :) Can't wait to wear it.
Shipped sooner then expected. Two thumbs up."
4007,High quality!!! I love it!!!
4008,It fits perfectly and the colors are amazing
4009,She was great about getting back with me and the product was personalized and great!
4010,So cute and well made.
4011,Beautifully constructed and great quality. Thank you!
4012,"highly recommended seller,fully satisfied from purchase!!!"
4013,Just perfect 👍
4014,"Great top with open mesh triangle middle. Fits true to size. Crazy fast shipping to US, she must make orders the same day. Would definitely buy another piece!"
4015,Great product!  Excellent craftsmanship. Really fast delivery to Australia. Very happy.
4016,This halter fits perfectly! I can't wait to order more bikinis!
4017,"Such beautiful, eco-conscious craftsmanship! The Organic Cotton fabric is so soft against my skin and when I put it on I can feel all of the love that was put into each stitch. The seller was so kind and genuine and I can tell they really care about what they are sending out into the world 💗 I also have to note that I have a reasonably large chest and the M/L fits me like a glove with plenty of support for my ladies! Thank you PrimitiveTribalCraft I look forward to getting some more of your sweet threads in the future!"
4018,The set is well made and so beautiful! It fits perfectly. I'm so happy with my purchase! :) I will buy from this shop again for sure :)
4019,"Amazing!! Fabric quality, design, fit, all really beautiful. l definitely will keep buying more items in the future! The estimated delivery was meet with no problems.  Very nice customer service too. Thanks! :D"
4020,♥️♥️♥️
4021,"Strappy to adjust for different bodies, this is a simple, but pretty suit. Adore the pattern, material, and cut!

PrimitiveTribalCraft is responsive to inquiries and super helpful. Great sexy styles for ladies and gents."
4022,Love my new bikini so much! Thank you!
4023,My favorite bikini I've ever owned. Extremely comfortable. I actually like to work in the top. I love how it fits me!
4024,Absolutely love the way the bikini lays against the body. It is a very flattering shape and I love the material.
4025,Very helpful seller in every way. Great quality bikini it seems. Awesome everything! I'm happy!
4026,Super cute! Happy to have a underwear/bathing suit set made of natural materials finally.
4027,I love these bikinis .. thank you
4028,"Perfect, thank you so much !!"
4029,"Fast shipping, Beautiful bikini pieces"
4030,bikini lies nicely and the material is pleasant and slightly elastic :)
4031,Very comfortable and beautiful... thank you!
4032,Had high hopes but then noticed a small hole on right bikini triangle. Unsure if it was used or a moth got into the warehouse....Disappointed
4033,Fits perfect! Absolutely love it ! And the owner is a pleasure to work with. Definitely going to be ordering more!!
4034,ABSOLUTELY LOVE ITTTTT :D
4035,Amazing item! Well made   with quality fabric. Extremely fast shipping. I can't wait to wear on my honeymoon! Thank you!
4036,I absolutely love the two pairs of bottoms I ordered! Fit perfect and look great!
4037,"Exactly as described/shown.  Seller was very helpful at determining size.  I was hesitant to order an XS because I'm usually a size 4 in pants, but I'm glad I did!  I'll definitely be ordering again, thanks!"
4038,It fits my wife good just wasn't what she expected
4039,Beautiful suit! I wore this to a 1940's theme pool party. It's such nice quality and print. My new fave!
4040,Amazing look. Love the wideness of the straps. It definitely holds and hides my post pregnancy roll! Will purchase again no doubt. Thank you for being such a creative human!
4041,"Absolutely surprised with quality of the suit! Fabric is great and the elastic for the highwaisted shorts fits very comfortably not too tight and not lose. The elastic is by far what I was most pleased with as this area in most suits tends to cut your figure and squeeze you hips and love handle area. LOVE THAT ABOUT THESE SUITS THEY WILL NOT SO THAT! I WILL BE PLACING MULTIPLE ORDERS IN THE VERY NEAR FUTURE!
Incredible personable communication with seller and very quick shipping for say myself who lives in Toronto, Ontario Canada! 

Cheers hope this helps future customers you WILL NOT BE DISAPPOINTED!

<3"
4042,"This suit fits absolutely perfectly and the pattern is wonderful. I love it, no complaints at all. ♡"
4043,"This is more lovely than I thought, Thank you so much!"
4044,So beautiful! The material is great quality and was delivered on time.
4045,Cute. I am satisfied with the quality and the seller communication.
4046,Great fit and feel. Thank You
4047,Great quality and beautiful and unique!
4048,Love love love! Great bathing suit. I typically buy vitamin a and Vix suits but I was so happy with this bathing suit. The rainbow pattern is great and the fit is awesome! Shipping was good :)
4049,I knew it was love at first sight. I just knew it. It was shipped fast and fits amazingly!!! I'm in love and can't wait to order more!!
4050,"Very nice fabric and looks just like the picture. Top was too big, so they're sending me a smaller size. My tits are 34C-D, and it was kinda big cup wise. It does make you look wide, like wider than you are, but all stripes, checker print, poke a dots, etc will do that to you. Really nice bikini. 
It wouldn't let me upload a picture that wasn't square, so I had to put it on a black background. 
YES GUYS IM MARRIED. but also into hot blondes"
4051,"I needed a rainbow bikini for my job for San Diego PRIDE and Hunny Bunny did not disappoint. In fact, all the gay children (men & women were losing their minds over the derrière. I believe that is 100% thanks to the adorable scrunch Brazilian bottoms. It is definitely low cut in the front but I was expecting that. Pleased with the quality fast shipping and communication. Can't recommend enough!!"
4052,absolutely my fave purchase! was soo worried about delivery and it got here 2 days earlier!!!!!!! thank you!!!!!!!
4053,"This was actually a custom order and not the bikinis that are listed. Hunni is like a super hero. She managed to create exactly what I had in mind for the holidays and get them shipped to me in 3 days over Thanksgiving. I only needed them by Christmas, but hey, she got them delivered in 3 days after finalizing the design. And what works of art they are!! I can't say enough good things about this shop or their merchandise! Thank you Hunni :)"
4054,I totally feel like Rainbow Dash in this
4055,I absolutely love this bikini. Well made and fits perfectly.
4056,"Even though the bikini didn’t fit the way I wanted, the return and refund were quick and easy. Thank you!!! A+++"
4057,Incredibly Hott! May never make it to the beach!
4058,"Just like the pictures!!! Honestly my dream
bathing suit"
4059,The bathing suit was super cute but the bottoms were SUPER SMALL! I had to return it because I didn't want to look like a plumber! Super sad because it looked great otherwise!
4060,"I like it a lot. I workout, so my body is thin but I have a quite shapely bum. It's where I gain muscle most easily. My only problem with this bikini (which I do love) is that the bottoms were said to fit around 43 inches at most, which happens to be my ""hip"" measurement. It might be a little too small for me. I might have liked a little more fabric for my body type. Otherwise, totally cute. Very fast shipping."
4061,"Just as cute as pictured! The customer service is amazing, too."
4062,This bikini is so bright and fun. Well made and true to size. I can't wait to wear it!
4063,"I dont have a photo, cause i did have to return the product i orded to small of a size. But the service and return was absolutly wonderful!!"
4064,Did really fit right.
4065,Awesome suit! Fast shipping and seller was very responsive!
4066,"It's an extremely cute bikini. It fits well, and looks great!"
4067,"Made nicely, fits nicely. Shipped on time"
4068,"looks exactly like photo, shipped promptly!"
4069,"Nice work, looks awesome on my fiancee!"
4070,Great quality material.
4071,"Cute print. Colors are exactly as they appear in pics. However, Sizing is off. The bottoms run super small! I'm a 4-6 normally and I should have gotten a LARGE. Also the fabric is very thin. Not the best quality.  I was a little disappointed."
4072,I am SO happy with this swimsuit! I made sure to measure my body correctly and asked the seller if she could give me a M top and a L bottom. She responded right away  and said yes! She is so friendly and great to work with. The swimsuit feels custom made it fits like a glove. I’m self conscious about my thighs so I love the little extra fabric that covers them up just a little to give me confidence. Thank you so much!
4073,I had to take it in myself a bit on the bottoms. My bust is DD and my hips small.
4074,Great suit.  Great price.  Seller with good communication.  And she was willing to do what it took for the suit to fit me well.
4075,I freakin love it!!!
4076,"The material is great quality (I asked for 'Make in the States'), it fits perfectly and looks great. I haven't tested it out in the water yet though. And there is a slight sag in the frontal crotch region....but overall delighted with it"
4077,"This suit is super cute! I was worried about purchasing a swimsuit online, but this shop is great quality. It also got to me only 8 days after I bought it."
4078,Absolutely perfect!! Fast shipping and the bathing suit fit perfectly!! Definitely will be buying another one!! Thank you so much for your great work ❤️
4079,The swimsuit fits perfect and came super fast! I ordered it Friday and it got there on Monday! I absolutely love it! I’ll be ordering another one later. Thank you so much!!! ❤️❤️
4080,"I love this suit! But I forgot that swimsuits get a little bigger/looser when wet. I was on the fence about ordering a M or L, and I went for the L, but it gets a little loose in the water, especially the top. But it's not too bad, so I am still very happy with my purchase."
4081,"I got so many compliments on this suit and it is seriously so completely gorgeous. I'm only giving it 4 stars though because the first time I wore it I noticed the bottoms had a small hole along one of the edges where the red fabric (only about the size of a nickle) was not there and it was showing the tan waterproof layer underneath. The top also had an issue where the tan waterproof layer would fold over a bit and show as well.
Even with those issues I would still buy again!"
4082,I absolutely love this suit!
4083,"Thank you for responding to my several conversations before I ordered this swim suit from you!  You sent it out to me quickly, knowing I was needing it before going on vacation.  I appreciate you doing that for me.  It is made of good quality and is lined, which I like.  I am bigger up top than on the bottom, so I ended up going with a large, so the bottoms where too big, but I wore them anyway.  I wish you had where you could order different sizes for the top and bottoms, but other than that, I loved it!  Thanks again for a good product and great service!  Mrs. T"
4084,Literally perfect fit. Awesome awesome job!!!!!!!!
4085,"Oh my gosh!  I love this suit, thanks so much!"
4086,Ordered a medium top & bottom. Top was a little loose so I mailed it back and got a small- fits much better! (there is no way to adjust it in the back) Can't wait to wear it!
4087,"I don't wear 2-pieces because of saggy skin from pregnancy, but this bikini made me feel sexy, comfortable and confident. The shipping was very fast. All in all, I love the suit and will definitely purchase another in the near future!"
4088,"4/5 just because the fit isn't perfect, but still pretty good. I'm about 5'7, 115 lbs, and an A-B cup, so I ordered the small. For me, there is a bit where the fabric up top above the breast area flaps down a little and you can see the lining, but I just tuck it in and under, and it looks fine, though have to fix it after swimming. The bottoms seem a little tight in the butt, they tend to ride up the butt like a wedgy, have to keep pulling them down over my cheeks, while at the same time, they are pretty loose and baggy in front pelvic area. I thought I had it on backwards at first, but it was the right way, it's just made for someone who has more of a belly and less of a bum than I do. It held up after a dip in a chlorine pool with no discoloration. Good fabric. Ordered June 13 and received June 24."
4089,Design was great but small size still so big.. Even after looking at size guide.  Had to get mine altered
4090,love it！
4091,Super adorable and the colour is perfect!
4092,"Amazing! Well made, looked great."
4093,awesome! Shop is fantastic! Love
4094,Very cute and well made. Seller was quick to get this to us
4095,Quick delivery and a very flattering fit!
4096,It did not fit the way I wanted it to.
4097,THe bottoms have a little too much material - would have liked them a little smaller.
4098,Very disappointed :( guess I don’t have the body type for this type of bathing suit. Even more disappointed because I’ve been trying to contact the shop about exchanging for a one piece and haven’t heard back. I had questions before I made my purchase with responses in under 24hrs but now that I want to exchange (since I can’t return) it’s “radio silence” for over a week. Very disappointed in the customer service :\
4099,Love it!  Thank you x
4100,Lovely little suit.
4101,Wow. I am very impressed. The quality of both the sewing and the design are superior on this swimsuit! I can't recommend this store enough and I also can't wait to order many more suits in the future.
4102,i adore new suit! than you so very much.
4103,amazing fit and great quality. excited to purchase more
4104,AMAZING ITEM!!! extremely fast postage
4105,Arrived in time and looks as described.   Beautiful design.   Material is a little thinner than I'd like but I know it's meant for the beach.  My kids have been stealing my sarongs which I use in the car or plane as a light blanket and shawl.  Now they'll get their own for Christmas with very cool prints!
4106,"Beautiful sarong
Great customer service 
5/5"
4107,The shipping was quick and product is amazing!
4108,Beautiful prints and I appreciated the cute extra gifts and fast shipping. Can’t wait to wear my pareo in Tahitian class. Mahalo
4109,"Great product, would buy again."
4110,"Such beautiful, eco-conscious craftsmanship! The Organic Cotton fabric is so soft against my skin and when I put it on I can feel all of the love that was put into each stitch. The seller was so kind and genuine and I can tell they really care about what they are sending out into the world 💗 I also have to note that I have a reasonably large chest and the M/L fits me like a glove with plenty of support for my ladies! Thank you PrimitiveTribalCraft I look forward to getting some more of your sweet threads in the future!"
4111,The set is well made and so beautiful! It fits perfectly. I'm so happy with my purchase! :) I will buy from this shop again for sure :)
4112,"Amazing!! Fabric quality, design, fit, all really beautiful. l definitely will keep buying more items in the future! The estimated delivery was meet with no problems.  Very nice customer service too. Thanks! :D"
4113,♥️♥️♥️
4114,"Strappy to adjust for different bodies, this is a simple, but pretty suit. Adore the pattern, material, and cut!

PrimitiveTribalCraft is responsive to inquiries and super helpful. Great sexy styles for ladies and gents."
4115,Love my new bikini so much! Thank you!
4116,My favorite bikini I've ever owned. Extremely comfortable. I actually like to work in the top. I love how it fits me!
4117,Absolutely love the way the bikini lays against the body. It is a very flattering shape and I love the material.
4118,Very helpful seller in every way. Great quality bikini it seems. Awesome everything! I'm happy!
4119,Super cute! Happy to have a underwear/bathing suit set made of natural materials finally.
4120,I love these bikinis .. thank you
4121,"Perfect, thank you so much !!"
4122,"Fast shipping, Beautiful bikini pieces"
4123,bikini lies nicely and the material is pleasant and slightly elastic :)
4124,Very comfortable and beautiful... thank you!
4125,Had high hopes but then noticed a small hole on right bikini triangle. Unsure if it was used or a moth got into the warehouse....Disappointed
4126,"The fit of this bathing suit is remarkable! I recommend her work to anyone.  Just keep in mind the bathing suit stretches when it gets wet, I had no clue about that, but it wasn't a bad stretch at all."
4127,"After waiting 10 business days after purchase I messaged seller about shipment as info says 3-5 business days. I did not receive a reply but the next day my item was shipped! I bought a medium top, it is beautifully made, but I am a C bra size US and would suggest maybe getting a large if you are as well or up a size! Can't wait to wear it."
4128,HE RECIBIDO EL PEDIDO Y ESTA PERFECTO . GRACIAS
4129,"Doesnt have any support, doesn't stretch at all, it doesn't make nice boobs as there is no support, I'm not a big fan.."
4130,"The top fits my girlfriend perfectly and looks great! Great looking item, and nice quality... thanks for working with us Lucy Bea!"
4131,Arrived exactly as advertised in a timely fashion and provided the perfect top for a July 4th photoshoot. Thanks to the shop owner!
4132,I have NEVER had a top fit me as well as this top does. I am a medium but still need a xxl in the top without being oddly shaped. This handmade suit won’t be the last I buy here.
4133,Perfect! Thank you again for a great item.
4134,No padding. But overall quality product!
4135,I love these bottoms. They are so flattering and very well made. I will never buy a swimsuit anywhere else ever again. Jennifer is so kind and answers all your questions promptly. Highly recommend this shop to everyone looking for something fun and a little different than the cookie cutter stuff from the stores
4136,"BEST BOTTOMS!! easy to adjust, long sexy side strings. seller was great! fast shipping."
4137,Perfect fit for my daughter who is impossible to fit right now!  Thank you!
4138,the BEST basic bikini bottoms to go with any suit top! Just love your bikinis!
4139,shipping didn't take too long! was a good fit
4140,The cutest 'kini I own!!
4141,Thank you so much for the great bikini bottoms
4142,Just as described! Love!
4143,My new favorite bikini bottoms!
4144,"BEST BIKINI BOTTOMS EVER! great seller, great customer service! will buy from her again!"
4145,"Exactly what I was looking for. Nice black color. Online shopping is a little different than trying on, but they knew their sizing, so going up a size like they recommended was perfect. 

The elastic is a little smaller than I am used to but seems durable enough to hold up to waves. Great for tanning or braving the ice."
4146,"Thank you JoEllen!  The measurements that you took from me and the finished product came out perfect!  Wow... I am so impressed with the workmanship and the quality of this bikini.  I do believe this is the best fitting swimsuit I've ever had!  I will definitely be ordering more.  The brown color is perfect!

The product shipped very quickly and was delivered very quickly!  

***** A+"
4147,"Definitely order a size up; I gave my measurements and was still slightly small.  Lining of the crotch ripped before even wearing it.  Other than that it's just as shown in picture, full coverage."
4148,I'm a 34C and ordered size M. Fits perfect.
4149,"LOVEEE this bikini!!! Very well made... Not flimsy material... SUPER CUTE!! Def recommend! 🇺🇸 (Will post pic soon!)
Thanks again"
4150,Medium top and bottom fit great! :) love lovelove!
4151,I was so nervous ordering a suit online... I can never find one in stores that fit... If I could give more than5 stars I would! The fit is perfect and the fabric is such good quality. I will definitely only be getting my bikinis from sweet treats from now on!
4152,Absolutely over the moon satisfied
4153,I was a little confused with the string on the top of the bikini.  I didn't notice how it was pictured in the photo.  I did play with and was able to make it how I wanted.
4154,"Came as expected, size was perfect to size chat, really nice material!"
4155,"Very fast shipping , the most hottest leopard bikini bottoms !!!!!! I love the fabric and the way they feel and sit on my curves perfectly .will buy more from this shop again"
4156,Love everything about it!Would like to have the matching top.
4157,Amazing fit great quality came looking just like the picture I love it
4158,Gorgeous but admit to having ordered wrong size
4159,"Just received this in the mail and it fits PERFECT!!!!!
Measurements: 27 waist; 44 hips
Size ordered: XXL"
4160,fantastic! i'd recommend sizing up from your usual size in bottoms.
4161,"Absolutely love the suit! Great fabric and design, perfect fit. Thanks!"
4162,"Fits my curves wonderfully!! The sizing was accurate. I love the cut and rutched sides, and also the backside is made to cover perfectly. No unsighlty bum rolls! If I need another suit, I'll be placing an order again!"
4163,One word - fabulous! Thankyou xx
4164,I love it! Thank you!
4165,I can't wait to get it!!!
4166,"Beautiful, flattering, excellent fit, quality garment. I can't say enough how much I LOVE this suit. Can't wait to order another one!"
4167,Very cool print and design. It's a little tight at the thighs and shoulder but a larger size would be too big on me
4168,"SOOOO CUTE!! It fits awesome and I love the criss cross in the back! Took a little big longer to ship but still received them in a decent amount of time, thank you so much! Vegas here I come!!"
4169,It fits so perfectly and me being a 36dd it gave me support to as well as looking very sexy so happy to wear this top in Puerto Rico !!!!!!!!!
4170,Absolutely love this top! Was shipped on time and fits so well. I think I might buy a few more in different colors :)
4171,"Adorable! Fit well. Made of swimsuit material, lined, comes with pudding. Very bright- ready for ULTRA!!!"
4172,I can't wait to wear it in Mexico!!
4173,"Cute bikini top and very durable. I could see this lasting me for a some time. It's very flattering on almost any body type. The only thing is, I wish I would have gotten a size larger."
4174,"Fits perfect, does run small."
4175,The shipping was very fast!
4176,ultra fast
4177,Gorgeous and comfortable!!
